,time,open,high,low,close,%Change
0,"03-Jan-2022, 05:00:00",1827.1,1829.03,1827.1,1829.03,0.1056
1,"03-Jan-2022, 06:00:00",1828.53,1831.57,1827.54,1827.98,-0.0301
2,"03-Jan-2022, 07:00:00",1828.2,1830.9,1826.66,1830.08,0.1028
3,"03-Jan-2022, 08:00:00",1830.13,1831.57,1826.44,1828.7,-0.0781
4,"03-Jan-2022, 09:00:00",1828.64,1828.81,1824.67,1825.99,-0.1449
5,"03-Jan-2022, 10:00:00",1825.77,1826.82,1823.07,1825.61,-0.0088
6,"03-Jan-2022, 11:00:00",1825.55,1825.94,1823.68,1824.95,-0.0329
7,"03-Jan-2022, 12:00:00",1825.06,1825.72,1822.79,1825.28,0.0121
8,"03-Jan-2022, 13:00:00",1825.0,1825.72,1822.79,1825.28,0.0153
9,"03-Jan-2022, 14:00:00",1825.17,1825.39,1820.26,1824.06,-0.0608
10,"03-Jan-2022, 15:00:00",1824.12,1824.39,1820.26,1822.63,-0.0817
11,"03-Jan-2022, 16:00:00",1822.74,1826.66,1821.36,1826.38,0.1997
12,"03-Jan-2022, 17:00:00",1826.1,1827.48,1824.56,1826.44,0.0186
13,"03-Jan-2022, 18:00:00",1826.27,1827.04,1820.97,1822.79,-0.1906
14,"03-Jan-2022, 19:00:00",1822.85,1823.18,1820.2,1821.58,-0.0697
15,"03-Jan-2022, 20:00:00",1821.69,1821.97,1805.41,1806.96,-0.8086
16,"03-Jan-2022, 21:00:00",1806.96,1810.93,1802.16,1802.76,-0.2324
17,"03-Jan-2022, 22:00:00",1802.87,1806.68,1799.07,1801.61,-0.0699
18,"03-Jan-2022, 23:00:00",1801.88,1801.99,1797.36,1800.67,-0.0672
19,"04-Jan-2022, 00:00:00",1800.78,1801.0,1797.74,1799.56,-0.0677
20,"04-Jan-2022, 01:00:00",1799.56,1802.27,1797.96,1801.33,0.0984
21,"04-Jan-2022, 02:00:00",1801.55,1803.04,1799.84,1801.77,0.0122
22,"04-Jan-2022, 03:00:00",1801.66,1801.72,1801.55,1801.61,-0.0028
23,"04-Jan-2022, 04:00:00",1801.77,1802.32,1800.06,1801.05,-0.04
24,"04-Jan-2022, 05:00:00",1801.16,1801.22,1801.05,1801.11,-0.0028
25,"04-Jan-2022, 06:00:00",1800.39,1804.36,1800.28,1804.2,0.2116
26,"04-Jan-2022, 07:00:00",1804.09,1804.92,1801.83,1804.42,0.0183
27,"04-Jan-2022, 08:00:00",1804.25,1806.9,1802.16,1804.86,0.0338
28,"04-Jan-2022, 09:00:00",1805.14,1807.12,1803.87,1804.97,-0.0094
29,"04-Jan-2022, 10:00:00",1805.3,1806.24,1802.65,1804.14,-0.0643
30,"04-Jan-2022, 11:00:00",1804.09,1804.31,1802.05,1803.32,-0.0427
31,"04-Jan-2022, 12:00:00",1803.32,1805.52,1802.16,1805.41,0.1159
32,"04-Jan-2022, 13:00:00",1805.41,1806.07,1802.54,1803.43,-0.1097
33,"04-Jan-2022, 14:00:00",1803.09,1807.4,1802.38,1805.69,0.1442
34,"04-Jan-2022, 15:00:00",1805.74,1806.9,1802.27,1803.92,-0.1008
35,"04-Jan-2022, 16:00:00",1803.81,1806.74,1800.78,1805.69,0.1042
36,"04-Jan-2022, 17:00:00",1805.58,1808.61,1804.36,1805.19,-0.0216
37,"04-Jan-2022, 18:00:00",1805.52,1805.69,1801.27,1804.03,-0.0825
38,"04-Jan-2022, 19:00:00",1803.98,1805.08,1798.29,1801.22,-0.153
39,"04-Jan-2022, 20:00:00",1801.11,1807.34,1799.34,1807.23,0.3398
40,"04-Jan-2022, 21:00:00",1807.12,1810.93,1805.36,1810.27,0.1743
41,"04-Jan-2022, 22:00:00",1809.94,1816.72,1806.85,1814.63,0.2591
42,"04-Jan-2022, 23:00:00",1814.52,1815.57,1810.43,1812.48,-0.1124
43,"05-Jan-2022, 00:00:00",1812.42,1815.07,1810.93,1813.58,0.064
44,"05-Jan-2022, 01:00:00",1813.41,1815.18,1812.59,1815.01,0.0882
45,"05-Jan-2022, 02:00:00",1814.96,1815.23,1812.53,1814.35,-0.0336
46,"05-Jan-2022, 03:00:00",1814.3,1815.4,1812.42,1815.18,0.0485
47,"05-Jan-2022, 04:00:00",1815.18,1815.34,1813.19,1814.02,-0.0639
48,"05-Jan-2022, 05:00:00",1814.3,1814.3,1813.52,1813.97,-0.0182
49,"05-Jan-2022, 06:00:00",1813.69,1814.85,1812.2,1813.91,0.0121
50,"05-Jan-2022, 07:00:00",1813.74,1814.63,1811.54,1812.53,-0.0667
51,"05-Jan-2022, 08:00:00",1812.75,1815.4,1811.54,1815.23,0.1368
52,"05-Jan-2022, 09:00:00",1815.01,1816.17,1813.03,1815.4,0.0215
53,"05-Jan-2022, 10:00:00",1815.45,1815.51,1815.34,1815.4,-0.0028
54,"05-Jan-2022, 11:00:00",1815.29,1815.4,1813.41,1814.85,-0.0242
55,"05-Jan-2022, 12:00:00",1814.74,1816.23,1813.08,1815.73,0.0546
56,"05-Jan-2022, 13:00:00",1815.73,1817.0,1811.81,1812.97,-0.152
57,"05-Jan-2022, 14:00:00",1812.92,1815.68,1811.43,1813.41,0.027
58,"05-Jan-2022, 15:00:00",1813.3,1817.61,1812.31,1816.78,0.1919
59,"05-Jan-2022, 16:00:00",1816.72,1820.09,1815.18,1817.72,0.055
60,"05-Jan-2022, 17:00:00",1817.66,1819.98,1816.67,1818.21,0.0303
61,"05-Jan-2022, 18:00:00",1818.21,1820.75,1816.61,1818.66,0.0247
62,"05-Jan-2022, 19:00:00",1818.54,1819.21,1815.79,1817.83,-0.039
63,"05-Jan-2022, 20:00:00",1817.55,1827.81,1814.13,1825.44,0.4341
64,"05-Jan-2022, 21:00:00",1825.28,1829.64,1824.28,1825.66,0.0208
65,"05-Jan-2022, 22:00:00",1825.72,1826.6,1819.21,1823.07,-0.1451
66,"05-Jan-2022, 23:00:00",1823.18,1825.39,1821.25,1823.84,0.0362
67,"06-Jan-2022, 00:00:00",1823.73,1825.61,1821.47,1822.3,-0.0784
68,"06-Jan-2022, 01:00:00",1822.74,1824.89,1821.25,1823.68,0.0516
69,"06-Jan-2022, 02:00:00",1823.79,1824.34,1811.43,1812.81,-0.602
