,time,open,high,low,close
0,"03-Jan-2022, 05:00:00",1827.1,1829.03,1827.1,1829.03
1,"03-Jan-2022, 06:00:00",1828.53,1831.57,1827.54,1827.98
2,"03-Jan-2022, 07:00:00",1828.2,1830.9,1826.66,1830.08
3,"03-Jan-2022, 08:00:00",1830.13,1831.57,1826.44,1828.7
4,"03-Jan-2022, 09:00:00",1828.64,1828.81,1824.67,1825.99
5,"03-Jan-2022, 10:00:00",1825.77,1826.82,1823.07,1825.61
6,"03-Jan-2022, 11:00:00",1825.55,1825.94,1823.68,1824.95
7,"03-Jan-2022, 12:00:00",1825.06,1825.72,1822.79,1825.28
8,"03-Jan-2022, 13:00:00",1825.0,1825.72,1822.79,1825.28
9,"03-Jan-2022, 14:00:00",1825.17,1825.39,1820.26,1824.06
10,"03-Jan-2022, 15:00:00",1824.12,1824.39,1820.26,1822.63
11,"03-Jan-2022, 16:00:00",1822.74,1826.66,1821.36,1826.38
12,"03-Jan-2022, 17:00:00",1826.1,1827.48,1824.56,1826.44
13,"03-Jan-2022, 18:00:00",1826.27,1827.04,1820.97,1822.79
14,"03-Jan-2022, 19:00:00",1822.85,1823.18,1820.2,1821.58
15,"03-Jan-2022, 20:00:00",1821.69,1821.97,1805.41,1806.96
16,"03-Jan-2022, 21:00:00",1806.96,1810.93,1802.16,1802.76
17,"03-Jan-2022, 22:00:00",1802.87,1806.68,1799.07,1801.61
18,"03-Jan-2022, 23:00:00",1801.88,1801.99,1797.36,1800.67
19,"04-Jan-2022, 00:00:00",1800.78,1801.0,1797.74,1799.56
20,"04-Jan-2022, 01:00:00",1799.56,1802.27,1797.96,1801.33
21,"04-Jan-2022, 02:00:00",1801.55,1803.04,1799.84,1801.77
22,"04-Jan-2022, 03:00:00",1801.66,1801.72,1801.55,1801.61
23,"04-Jan-2022, 04:00:00",1801.77,1802.32,1800.06,1801.05
24,"04-Jan-2022, 05:00:00",1801.16,1801.22,1801.05,1801.11
25,"04-Jan-2022, 06:00:00",1800.39,1804.36,1800.28,1804.2
26,"04-Jan-2022, 07:00:00",1804.09,1804.92,1801.83,1804.42
27,"04-Jan-2022, 08:00:00",1804.25,1806.9,1802.16,1804.86
28,"04-Jan-2022, 09:00:00",1805.14,1807.12,1803.87,1804.97
29,"04-Jan-2022, 10:00:00",1805.3,1806.24,1802.65,1804.14
30,"04-Jan-2022, 11:00:00",1804.09,1804.31,1802.05,1803.32
31,"04-Jan-2022, 12:00:00",1803.32,1805.52,1802.16,1805.41
32,"04-Jan-2022, 13:00:00",1805.41,1806.07,1802.54,1803.43
33,"04-Jan-2022, 14:00:00",1803.09,1807.4,1802.38,1805.69
34,"04-Jan-2022, 15:00:00",1805.74,1806.9,1802.27,1803.92
35,"04-Jan-2022, 16:00:00",1803.81,1806.74,1800.78,1805.69
36,"04-Jan-2022, 17:00:00",1805.58,1808.61,1804.36,1805.19
37,"04-Jan-2022, 18:00:00",1805.52,1805.69,1801.27,1804.03
38,"04-Jan-2022, 19:00:00",1803.98,1805.08,1798.29,1801.22
39,"04-Jan-2022, 20:00:00",1801.11,1807.34,1799.34,1807.23
40,"04-Jan-2022, 21:00:00",1807.12,1810.93,1805.36,1810.27
41,"04-Jan-2022, 22:00:00",1809.94,1816.72,1806.85,1814.63
