,time,open,high,low,close,%Change
0,"09-Dec-2022, 13:00:00",1795.09,1796.39,1792.85,1795.62,0.0295
1,"09-Dec-2022, 14:00:00",1795.62,1797.04,1790.2,1792.73,-0.1609
2,"09-Dec-2022, 15:00:00",1792.67,1792.85,1789.26,1790.79,-0.1049
3,"09-Dec-2022, 16:00:00",1790.67,1793.09,1787.96,1792.73,0.115
4,"09-Dec-2022, 17:00:00",1792.56,1794.86,1791.55,1794.68,0.1183
5,"09-Dec-2022, 18:00:00",1794.62,1801.22,1792.5,1800.4,0.3221
6,"09-Dec-2022, 19:00:00",1800.45,1801.81,1798.27,1800.22,-0.0128
7,"09-Dec-2022, 20:00:00",1800.57,1805.05,1789.79,1797.68,-0.1605
8,"09-Dec-2022, 21:00:00",1797.98,1799.33,1793.09,1797.8,-0.01
9,"09-Dec-2022, 22:00:00",1798.16,1800.51,1789.55,1796.68,-0.0823
10,"09-Dec-2022, 23:00:00",1796.68,1806.17,1795.27,1804.58,0.4397
11,"10-Dec-2022, 00:00:00",1804.76,1805.05,1797.39,1798.86,-0.3269
12,"10-Dec-2022, 01:00:00",1798.75,1798.98,1796.39,1798.51,-0.0133
13,"10-Dec-2022, 02:00:00",1798.39,1800.16,1795.56,1799.63,0.069
14,"10-Dec-2022, 03:00:00",1799.69,1799.81,1793.97,1794.97,-0.2623
15,"10-Dec-2022, 04:00:00",1794.91,1797.63,1793.85,1797.15,0.1248
16,"12-Dec-2022, 05:00:00",1797.45,1797.45,1796.62,1796.62,-0.0462
17,"12-Dec-2022, 06:00:00",1795.74,1797.63,1794.56,1795.03,-0.0395
18,"12-Dec-2022, 07:00:00",1794.97,1795.03,1791.38,1793.32,-0.0919
19,"12-Dec-2022, 08:00:00",1793.62,1794.15,1788.9,1790.67,-0.1645
20,"12-Dec-2022, 09:00:00",1790.79,1790.91,1786.31,1788.31,-0.1385
21,"12-Dec-2022, 10:00:00",1788.31,1788.73,1785.78,1787.43,-0.0492
22,"12-Dec-2022, 11:00:00",1787.43,1788.67,1785.9,1787.49,0.0034
23,"12-Dec-2022, 12:00:00",1787.37,1788.49,1784.48,1786.9,-0.0263
24,"12-Dec-2022, 13:00:00",1786.78,1789.55,1785.07,1788.49,0.0957
25,"12-Dec-2022, 14:00:00",1788.67,1792.08,1786.66,1791.32,0.1482
26,"12-Dec-2022, 15:00:00",1791.32,1791.85,1787.9,1790.14,-0.0659
27,"12-Dec-2022, 16:00:00",1790.38,1792.56,1788.9,1792.32,0.1084
28,"12-Dec-2022, 17:00:00",1792.2,1792.79,1788.84,1792.38,0.01
29,"12-Dec-2022, 18:00:00",1792.38,1795.5,1790.49,1794.44,0.1149
30,"12-Dec-2022, 19:00:00",1794.32,1795.15,1787.37,1789.31,-0.2792
31,"12-Dec-2022, 20:00:00",1789.37,1791.14,1786.37,1787.55,-0.1017
32,"12-Dec-2022, 21:00:00",1787.55,1789.96,1784.36,1788.19,0.0358
33,"12-Dec-2022, 22:00:00",1788.14,1790.26,1782.06,1784.84,-0.1845
34,"12-Dec-2022, 23:00:00",1784.95,1785.48,1780.59,1784.36,-0.0331
35,"13-Dec-2022, 00:00:00",1784.42,1785.42,1780.0,1782.71,-0.0958
36,"13-Dec-2022, 01:00:00",1783.07,1783.42,1778.12,1780.41,-0.1492
37,"13-Dec-2022, 02:00:00",1780.41,1781.89,1776.82,1781.59,0.0663
38,"13-Dec-2022, 03:00:00",1781.53,1781.95,1778.41,1780.36,-0.0657
39,"13-Dec-2022, 04:00:00",1780.36,1781.71,1778.71,1781.24,0.0494
40,"13-Dec-2022, 05:00:00",1781.18,1781.18,1780.24,1780.24,-0.0528
41,"13-Dec-2022, 06:00:00",1780.06,1782.3,1779.83,1781.71,0.0927
42,"13-Dec-2022, 07:00:00",1782.01,1782.77,1779.88,1781.83,-0.0101
43,"13-Dec-2022, 08:00:00",1781.83,1784.84,1780.71,1784.01,0.1223
44,"13-Dec-2022, 09:00:00",1784.13,1786.07,1782.6,1785.72,0.0891
45,"13-Dec-2022, 10:00:00",1785.48,1786.13,1781.3,1782.42,-0.1714
46,"13-Dec-2022, 11:00:00",1782.42,1782.65,1780.12,1782.6,0.0101
47,"13-Dec-2022, 12:00:00",1782.54,1785.78,1781.3,1785.42,0.1616
48,"13-Dec-2022, 13:00:00",1785.37,1786.78,1783.72,1785.42,0.0028
49,"13-Dec-2022, 14:00:00",1785.48,1788.78,1784.6,1787.96,0.1389
50,"13-Dec-2022, 15:00:00",1787.9,1788.49,1783.72,1785.78,-0.1186
51,"13-Dec-2022, 16:00:00",1785.72,1785.96,1782.06,1784.54,-0.0661
52,"13-Dec-2022, 17:00:00",1784.48,1787.66,1781.77,1786.96,0.139
53,"13-Dec-2022, 18:00:00",1787.19,1788.31,1785.19,1787.49,0.0168
