,time,open,high,low,close,%Change
0,"14-Mar-2023, 05:00:00",1913.97,1914.32,1909.84,1910.3,-0.1917
1,"14-Mar-2023, 06:00:00",1910.3,1912.71,1909.84,1912.36,0.1078
2,"14-Mar-2023, 07:00:00",1912.13,1914.43,1910.07,1912.71,0.0303
3,"14-Mar-2023, 08:00:00",1912.71,1913.17,1905.36,1906.28,-0.3362
4,"14-Mar-2023, 09:00:00",1906.4,1908.23,1903.99,1904.56,-0.0965
5,"14-Mar-2023, 10:00:00",1904.67,1907.31,1902.49,1903.07,-0.084
6,"14-Mar-2023, 11:00:00",1903.07,1904.56,1901.46,1904.45,0.0725
7,"14-Mar-2023, 12:00:00",1904.45,1904.79,1901.46,1904.22,-0.0121
8,"14-Mar-2023, 13:00:00",1904.22,1913.86,1903.76,1909.84,0.2951
9,"14-Mar-2023, 14:00:00",1909.72,1913.4,1908.69,1912.82,0.1623
10,"14-Mar-2023, 15:00:00",1912.94,1913.63,1900.89,1904.45,-0.4438
11,"14-Mar-2023, 16:00:00",1904.67,1905.25,1900.89,1901.35,-0.1743
12,"14-Mar-2023, 17:00:00",1901.35,1904.9,1900.89,1904.1,0.1446
13,"14-Mar-2023, 18:00:00",1903.87,1905.13,1902.49,1904.45,0.0305
14,"14-Mar-2023, 19:00:00",1904.33,1912.25,1898.94,1910.3,0.3135
15,"14-Mar-2023, 20:00:00",1910.3,1911.1,1895.61,1902.49,-0.4088
16,"14-Mar-2023, 21:00:00",1902.49,1908.23,1900.2,1907.89,0.2838
17,"14-Mar-2023, 22:00:00",1907.89,1909.04,1903.87,1904.33,-0.1866
18,"14-Mar-2023, 23:00:00",1904.45,1909.49,1902.04,1908.92,0.2347
19,"15-Mar-2023, 00:00:00",1908.92,1910.64,1905.48,1906.97,-0.1022
20,"15-Mar-2023, 01:00:00",1906.97,1910.07,1906.17,1907.08,0.0058
21,"15-Mar-2023, 02:00:00",1907.08,1908.12,1902.15,1902.61,-0.2344
22,"15-Mar-2023, 03:00:00",1902.61,1904.56,1902.61,1904.22,0.0846
23,"15-Mar-2023, 04:00:00",1902.38,1903.87,1902.15,1902.15,-0.0121
24,"15-Mar-2023, 05:00:00",1903.87,1905.36,1902.95,1904.45,0.0305
25,"15-Mar-2023, 06:00:00",1904.56,1905.02,1902.95,1903.3,-0.0662
26,"15-Mar-2023, 07:00:00",1903.3,1903.64,1900.08,1901.92,-0.0725
27,"15-Mar-2023, 08:00:00",1901.92,1905.48,1901.69,1903.99,0.1088
28,"15-Mar-2023, 09:00:00",1903.87,1905.94,1903.53,1904.9,0.0541
29,"15-Mar-2023, 10:00:00",1904.9,1905.36,1902.38,1903.07,-0.0961
30,"15-Mar-2023, 11:00:00",1903.18,1903.76,1900.89,1902.04,-0.0599
31,"15-Mar-2023, 12:00:00",1902.15,1902.38,1898.94,1900.31,-0.0967
32,"15-Mar-2023, 13:00:00",1900.31,1902.72,1898.71,1900.66,0.0184
33,"15-Mar-2023, 14:00:00",1900.66,1902.61,1896.41,1896.76,-0.2052
34,"15-Mar-2023, 15:00:00",1896.64,1897.1,1885.85,1887.69,-0.4719
35,"15-Mar-2023, 16:00:00",1887.8,1899.05,1886.66,1896.64,0.4683
36,"15-Mar-2023, 17:00:00",1896.53,1910.07,1896.3,1908.92,0.6533
37,"15-Mar-2023, 18:00:00",1908.81,1919.14,1905.48,1918.33,0.4987
38,"15-Mar-2023, 19:00:00",1918.22,1930.38,1917.07,1927.97,0.5083
39,"15-Mar-2023, 20:00:00",1927.97,1930.61,1917.3,1926.25,-0.0892
