,time,open,high,low,close,%Change
0,"18-Mar-2022, 02:00:00",1940.73,1941.33,1934.77,1937.3,-0.1767
1,"18-Mar-2022, 03:00:00",1937.08,1942.75,1935.66,1942.38,0.2736
2,"18-Mar-2022, 04:00:00",1942.75,1942.75,1942.0,1942.0,-0.0386
3,"18-Mar-2022, 05:00:00",1941.63,1943.79,1939.47,1941.11,-0.0268
4,"18-Mar-2022, 06:00:00",1941.03,1944.09,1940.29,1943.57,0.1309
5,"18-Mar-2022, 07:00:00",1943.72,1945.36,1939.77,1940.81,-0.1497
6,"18-Mar-2022, 08:00:00",1941.18,1942.3,1935.81,1936.71,-0.2303
7,"18-Mar-2022, 09:00:00",1936.78,1939.39,1932.23,1933.72,-0.158
8,"18-Mar-2022, 10:00:00",1933.58,1935.44,1926.49,1935.07,0.0771
9,"18-Mar-2022, 11:00:00",1935.22,1935.22,1932.38,1933.65,-0.0811
10,"18-Mar-2022, 12:00:00",1933.8,1935.51,1930.37,1933.13,-0.0346
11,"18-Mar-2022, 13:00:00",1933.2,1934.99,1929.1,1932.98,-0.0114
12,"18-Mar-2022, 14:00:00",1932.83,1936.26,1931.11,1934.1,0.0657
13,"18-Mar-2022, 15:00:00",1934.1,1937.23,1931.26,1932.46,-0.0848
14,"18-Mar-2022, 16:00:00",1932.46,1934.25,1929.1,1933.43,0.0502
15,"18-Mar-2022, 17:00:00",1933.13,1935.44,1928.58,1934.99,0.0962
16,"18-Mar-2022, 18:00:00",1934.77,1940.66,1934.1,1939.77,0.2584
17,"18-Mar-2022, 19:00:00",1939.69,1940.88,1934.02,1935.37,-0.2227
18,"18-Mar-2022, 20:00:00",1935.44,1936.86,1921.5,1933.43,-0.1039
19,"18-Mar-2022, 21:00:00",1933.2,1938.35,1928.21,1936.19,0.1547
20,"18-Mar-2022, 22:00:00",1936.26,1936.78,1930.0,1932.31,-0.204
21,"18-Mar-2022, 23:00:00",1932.23,1932.98,1925.97,1928.28,-0.2044
22,"19-Mar-2022, 00:00:00",1928.21,1931.19,1925.52,1929.33,0.0581
23,"19-Mar-2022, 01:00:00",1929.4,1930.07,1922.69,1923.66,-0.2975
24,"19-Mar-2022, 02:00:00",1923.73,1924.18,1917.39,1920.0,-0.1939
25,"19-Mar-2022, 03:00:00",1919.93,1921.72,1917.32,1921.2,0.0661
26,"21-Mar-2022, 05:00:00",1921.42,1926.34,1917.84,1920.08,-0.0697
27,"21-Mar-2022, 06:00:00",1920.08,1921.35,1917.32,1918.89,-0.062
28,"21-Mar-2022, 07:00:00",1918.96,1924.11,1918.44,1921.79,0.1475
29,"21-Mar-2022, 08:00:00",1922.09,1928.65,1920.82,1928.06,0.3106
30,"21-Mar-2022, 09:00:00",1927.98,1928.65,1924.4,1926.19,-0.0928
31,"21-Mar-2022, 10:00:00",1926.19,1927.68,1924.48,1926.34,0.0078
32,"21-Mar-2022, 11:00:00",1926.34,1928.88,1925.22,1927.98,0.0851
33,"21-Mar-2022, 12:00:00",1927.98,1928.36,1924.11,1925.45,-0.1312
34,"21-Mar-2022, 13:00:00",1925.37,1925.52,1922.32,1923.81,-0.081
35,"21-Mar-2022, 14:00:00",1923.88,1926.19,1921.12,1925.0,0.0582
36,"21-Mar-2022, 15:00:00",1924.93,1927.39,1922.69,1926.04,0.0577
37,"21-Mar-2022, 16:00:00",1925.9,1927.24,1921.57,1925.52,-0.0197
38,"21-Mar-2022, 17:00:00",1925.15,1928.88,1922.32,1925.45,0.0156
39,"21-Mar-2022, 18:00:00",1925.6,1928.06,1923.88,1925.15,-0.0234
40,"21-Mar-2022, 19:00:00",1925.22,1926.34,1921.12,1924.48,-0.0384
41,"21-Mar-2022, 20:00:00",1924.4,1930.52,1917.69,1929.55,0.2676
42,"21-Mar-2022, 21:00:00",1929.77,1937.53,1929.47,1933.28,0.1819
43,"21-Mar-2022, 22:00:00",1933.2,1936.04,1931.94,1934.99,0.0926
44,"21-Mar-2022, 23:00:00",1934.92,1937.53,1929.33,1930.37,-0.2352
45,"22-Mar-2022, 00:00:00",1930.37,1932.38,1926.27,1932.01,0.085
46,"22-Mar-2022, 01:00:00",1931.94,1941.18,1930.29,1935.96,0.2081
47,"22-Mar-2022, 02:00:00",1935.81,1940.66,1932.23,1935.07,-0.0382
48,"22-Mar-2022, 03:00:00",1935.07,1936.71,1932.98,1935.66,0.0305
49,"22-Mar-2022, 04:00:00",1935.66,1936.48,1934.99,1935.96,0.0155
50,"22-Mar-2022, 05:00:00",1935.37,1936.71,1934.62,1935.89,0.0269
51,"22-Mar-2022, 06:00:00",1936.11,1937.08,1933.72,1935.44,-0.0346
52,"22-Mar-2022, 07:00:00",1935.59,1935.66,1928.43,1931.11,-0.2315
53,"22-Mar-2022, 08:00:00",1931.11,1933.8,1929.1,1932.83,0.0891
54,"22-Mar-2022, 09:00:00",1932.61,1935.96,1930.89,1935.66,0.1578
55,"22-Mar-2022, 10:00:00",1935.51,1937.98,1933.58,1936.63,0.0579
56,"22-Mar-2022, 11:00:00",1936.41,1936.78,1932.61,1934.62,-0.0924
57,"22-Mar-2022, 12:00:00",1934.62,1938.35,1933.8,1936.63,0.1039
58,"22-Mar-2022, 13:00:00",1936.78,1938.35,1934.02,1934.77,-0.1038
59,"22-Mar-2022, 14:00:00",1934.62,1936.19,1931.41,1933.43,-0.0615
60,"22-Mar-2022, 15:00:00",1933.35,1933.5,1922.69,1924.63,-0.451
61,"22-Mar-2022, 16:00:00",1924.4,1925.97,1921.72,1925.15,0.039
62,"22-Mar-2022, 17:00:00",1925.07,1930.22,1924.03,1927.24,0.1127
63,"22-Mar-2022, 18:00:00",1927.16,1929.85,1924.63,1927.54,0.0197
64,"22-Mar-2022, 19:00:00",1927.54,1930.82,1922.99,1927.76,0.0114
65,"22-Mar-2022, 20:00:00",1927.91,1928.13,1918.81,1923.29,-0.2396
66,"22-Mar-2022, 21:00:00",1923.36,1923.88,1910.31,1915.16,-0.4263
67,"22-Mar-2022, 22:00:00",1915.16,1918.21,1910.24,1917.62,0.1284
68,"22-Mar-2022, 23:00:00",1917.69,1923.21,1916.8,1920.0,0.1205
69,"23-Mar-2022, 00:00:00",1919.93,1923.43,1917.69,1920.3,0.0193
70,"23-Mar-2022, 01:00:00",1920.3,1924.85,1919.41,1922.84,0.1323
71,"23-Mar-2022, 02:00:00",1922.76,1923.36,1919.78,1921.5,-0.0655
